race_id,horse_no,horse_name,sex_age,jockey_name,weight_carried,odds,popularity,finish_position,finish_time,last3f,corner_order
202505030811,1,サンプル馬01,牡4,騎手01,56,3.7,1,4,1:34.1,33.4,2-2-2
202505030811,2,サンプル馬02,牡5,騎手02,57,5.4,2,7,1:35.2,33.8,3-3-3
202505030811,3,サンプル馬03,牡6,騎手03,58,7.1,3,10,1:36.3,34.2,4-4-4
202505030811,4,サンプル馬04,牡3,騎手04,55,8.8,4,1,1:37.4,34.6,5-5-5
202505030811,5,サンプル馬05,牡4,騎手05,56,10.5,5,4,1:38.5,35.0,6-6-6
202505030811,6,サンプル馬06,牡5,騎手06,57,12.2,6,7,1:39.6,35.4,1-7-7
202505030811,7,サンプル馬07,牡6,騎手07,58,13.9,7,10,1:40.7,35.8,2-8-8
202505030811,8,サンプル馬08,牡3,騎手08,55,15.6,8,1,1:41.8,33.0,3-1-9
202505030811,9,サンプル馬09,牡4,騎手09,56,17.3,9,4,1:33.9,33.4,4-2-10
202505030811,10,サンプル馬10,牡5,騎手10,57,19.0,10,7,1:34.10,33.8,5-3-1
202505030811,11,サンプル馬11,牡6,騎手11,58,20.7,11,10,1:35.11,34.2,6-4-2
202505030811,12,サンプル馬12,牡3,騎手12,55,22.4,12,1,1:36.12,34.6,1-5-3
202509040811,1,サンプル馬01,牡4,騎手01,56,3.7,1,4,1:34.1,33.4,2-2-2
202509040811,2,サンプル馬02,牡5,騎手02,57,5.4,2,7,1:35.2,33.8,3-3-3
202509040811,3,サンプル馬03,牡6,騎手03,58,7.1,3,10,1:36.3,34.2,4-4-4
202509040811,4,サンプル馬04,牡3,騎手04,55,8.8,4,1,1:37.4,34.6,5-5-5
202509040811,5,サンプル馬05,牡4,騎手05,56,10.5,5,4,1:38.5,35.0,6-6-6
202509040811,6,サンプル馬06,牡5,騎手06,57,12.2,6,7,1:39.6,35.4,1-7-7
202509040811,7,サンプル馬07,牡6,騎手07,58,13.9,7,10,1:40.7,35.8,2-8-8
202509040811,8,サンプル馬08,牡3,騎手08,55,15.6,8,1,1:41.8,33.0,3-1-9
202509040811,9,サンプル馬09,牡4,騎手09,56,17.3,9,4,1:33.9,33.4,4-2-10
202509040811,10,サンプル馬10,牡5,騎手10,57,19.0,10,7,1:34.10,33.8,5-3-1
202509040811,11,サンプル馬11,牡6,騎手11,58,20.7,11,10,1:35.11,34.2,6-4-2
202509040811,12,サンプル馬12,牡3,騎手12,55,22.4,12,1,1:36.12,34.6,1-5-3
202508030302,1,サンプル馬01,牡4,騎手01,56,3.7,1,4,1:34.1,33.4,2-2-2
202508030302,2,サンプル馬02,牡5,騎手02,57,5.4,2,7,1:35.2,33.8,3-3-3
202508030302,3,サンプル馬03,牡6,騎手03,58,7.1,3,10,1:36.3,34.2,4-4-4
202508030302,4,サンプル馬04,牡3,騎手04,55,8.8,4,1,1:37.4,34.6,5-5-5
202508030302,5,サンプル馬05,牡4,騎手05,56,10.5,5,4,1:38.5,35.0,6-6-6
202508030302,6,サンプル馬06,牡5,騎手06,57,12.2,6,7,1:39.6,35.4,1-7-7
202508030302,7,サンプル馬07,牡6,騎手07,58,13.9,7,10,1:40.7,35.8,2-8-8
202508030302,8,サンプル馬08,牡3,騎手08,55,15.6,8,1,1:41.8,33.0,3-1-9
202508030302,9,サンプル馬09,牡4,騎手09,56,17.3,9,4,1:33.9,33.4,4-2-10
202508030302,10,サンプル馬10,牡5,騎手10,57,19.0,10,7,1:34.10,33.8,5-3-1
202508030302,11,サンプル馬11,牡6,騎手11,58,20.7,11,10,1:35.11,34.2,6-4-2
202508030302,12,サンプル馬12,牡3,騎手12,55,22.4,12,1,1:36.12,34.6,1-5-3
202605020811,1,サンプル馬01,牡4,騎手01,56,3.7,1,4,1:34.1,33.4,2-2-2
202605020811,2,サンプル馬02,牡5,騎手02,57,5.4,2,7,1:35.2,33.8,3-3-3
202605020811,3,サンプル馬03,牡6,騎手03,58,7.1,3,10,1:36.3,34.2,4-4-4
202605020811,4,サンプル馬04,牡3,騎手04,55,8.8,4,1,1:37.4,34.6,5-5-5
202605020811,5,サンプル馬05,牡4,騎手05,56,10.5,5,4,1:38.5,35.0,6-6-6
202605020811,6,サンプル馬06,牡5,騎手06,57,12.2,6,7,1:39.6,35.4,1-7-7
202605020811,7,サンプル馬07,牡6,騎手07,58,13.9,7,10,1:40.7,35.8,2-8-8
202605020811,8,サンプル馬08,牡3,騎手08,55,15.6,8,1,1:41.8,33.0,3-1-9
202605020811,9,サンプル馬09,牡4,騎手09,56,17.3,9,4,1:33.9,33.4,4-2-10
202605020811,10,サンプル馬10,牡5,騎手10,57,19.0,10,7,1:34.10,33.8,5-3-1
202605020811,11,サンプル馬11,牡6,騎手11,58,20.7,11,10,1:35.11,34.2,6-4-2
202605020811,12,サンプル馬12,牡3,騎手12,55,22.4,12,1,1:36.12,34.6,1-5-3
202604020809,1,サンプル馬01,牡4,騎手01,56,3.7,1,4,1:34.1,33.4,2-2-2
202604020809,2,サンプル馬02,牡5,騎手02,57,5.4,2,7,1:35.2,33.8,3-3-3
202604020809,3,サンプル馬03,牡6,騎手03,58,7.1,3,10,1:36.3,34.2,4-4-4
202604020809,4,サンプル馬04,牡3,騎手04,55,8.8,4,1,1:37.4,34.6,5-5-5
202604020809,5,サンプル馬05,牡4,騎手05,56,10.5,5,4,1:38.5,35.0,6-6-6
202604020809,6,サンプル馬06,牡5,騎手06,57,12.2,6,7,1:39.6,35.4,1-7-7
202604020809,7,サンプル馬07,牡6,騎手07,58,13.9,7,10,1:40.7,35.8,2-8-8
202604020809,8,サンプル馬08,牡3,騎手08,55,15.6,8,1,1:41.8,33.0,3-1-9
202604020809,9,サンプル馬09,牡4,騎手09,56,17.3,9,4,1:33.9,33.4,4-2-10
202604020809,10,サンプル馬10,牡5,騎手10,57,19.0,10,7,1:34.10,33.8,5-3-1
202604020809,11,サンプル馬11,牡6,騎手11,58,20.7,11,10,1:35.11,34.2,6-4-2
202604020809,12,サンプル馬12,牡3,騎手12,55,22.4,12,1,1:36.12,34.6,1-5-3
